participant_id,filename,image_datetime,date,foods_detected,estimated_portions,estimated_protein_g,estimated_carbs_g,estimated_fat_g,estimated_calories_kcal,confidence,uncertainty_notes,provider,model,status,error_message,validation_flags,cache_hit
p01,IMG_8916.jpeg,2020-02-01 10:03:41,2020-02-01,"[""Swiss cheese slices"", ""Whole wheat bread rounds"", ""Orange juice""]","[{""name"": ""Swiss cheese slices"", ""estimated_portion_g"": 85.0}, {""name"": ""Whole wheat bread rounds"", ""estimated_portion_g"": 100.0}, {""name"": ""Orange juice"", ""estimated_portion_g"": 240.0}]",34.5,72.0,26.5,664.5,high,estimated 4-5 slices of cheese | three circular bread bases | standard glass volume | Breakfast consisting of orange juice and bread rounds topped with swiss cheese slices. Tomato or jam may be under the cheese on some slices.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8917.jpeg,2020-02-01 11:39:57,2020-02-01,"[""cinnamon roll"", ""Coca-Cola""]","[{""name"": ""cinnamon roll"", ""estimated_portion_g"": 120.0}, {""name"": ""Coca-Cola"", ""estimated_portion_g"": 355.0}]",6.0,104.0,15.0,575.0,high,estimated based on typical bakery size relative to soda can | standard 12 oz can volume | A standard cinnamon roll with frosting and a 12 oz can of Coca-Cola.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8918.jpeg,2020-02-01 17:03:39,2020-02-01,"[""spicy coated peanuts"", ""cola""]","[{""name"": ""spicy coated peanuts"", ""estimated_portion_g"": 30.0}, {""name"": ""cola"", ""estimated_portion_g"": 200.0}]",7.0,34.0,14.0,290.0,medium,estimated handful volume | volume estimation of glass contents | A handful of snack peanuts and a glass of dark carbonated soft drink.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8920.jpeg,2020-02-01 19:16:48,2020-02-01,"[""Ham and onion pizza slices"", ""Cola""]","[{""name"": ""Ham and onion pizza slices"", ""estimated_portion_g"": 200.0}, {""name"": ""Cola"", ""estimated_portion_g"": 250.0}]",22.0,72.0,18.0,538.0,medium,estimated two rectangular pizza slices based on typical portion density | estimated standard serving size for glass of dark soda | The meal consists of two slices of pizza with ham and red onion toppings and a glass of cola.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8921.jpeg,2020-02-01 21:04:57,2020-02-01,"[""Coca-Cola""]","[{""name"": ""Coca-Cola"", ""estimated_portion_g"": 200.0}]",0.0,21.0,0.0,84.0,high,"estimated serving size in glass | A glass of Coca-Cola, with the bottle shown next to it.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8922.jpeg,2020-02-01 22:38:08,2020-02-01,"[""Freia Kvikk Lunsj chocolate bar""]","[{""name"": ""Freia Kvikk Lunsj chocolate bar"", ""estimated_portion_g"": 47.0}]",3.4,26.0,15.0,252.6,high,"Standard package size for this product is 47g. | The image shows a full, unopened 47g bar of Freia Kvikk Lunsj, a popular Norwegian chocolate-covered wafer bar.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8923.jpeg,2020-02-01 23:06:48,2020-02-01,"[""corn chips""]","[{""name"": ""corn chips"", ""estimated_portion_g"": 15.0}]",1.0,9.0,5.0,85.0,medium,"estimated portion based on hand scale | A handful of orange-dusted corn chips, likely nacho cheese or chili lime flavored. A cup with dark liquid is present but content cannot be determined.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8927.jpeg,2020-02-02 08:10:33,2020-02-02,"[""Eldorado Mellombar Kokos & Sjokolade""]","[{""name"": ""Eldorado Mellombar Kokos & Sjokolade"", ""estimated_portion_g"": 35.0}]",2.5,18.0,7.0,145.0,high,Standard bar size based on product nutritional information for this specific brand. | Single packaged food item identified.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8928.jpeg,2020-02-02 10:39:33,2020-02-02,"[""bread rolls"", ""orange juice""]","[{""name"": ""bread rolls"", ""estimated_portion_g"": 120.0}, {""name"": ""orange juice"", ""estimated_portion_g"": 240.0}]",12.0,86.0,2.5,414.5,high,"two standard-sized rolls, estimated weight | estimated volume of a standard small glass | Two bread rolls on a plate and a glass of orange juice.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8929.jpeg,2020-02-02 13:33:03,2020-02-02,"[""cheeseburger"", ""roasted potatoes"", ""orange juice""]","[{""name"": ""cheeseburger"", ""estimated_portion_g"": 200.0}, {""name"": ""roasted potatoes"", ""estimated_portion_g"": 150.0}, {""name"": ""orange juice"", ""estimated_portion_g"": 250.0}]",29.5,90.0,27.2,722.8,medium,"mixed dish, internal composition partially hidden | estimated size based on 3 whole small potatoes | standard glass size estimate | A cheeseburger with a side of three small roasted potatoes and a glass of orange juice.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8957.jpeg,2020-02-02 17:21:09,2020-02-02,"[""pizza with ham""]","[{""name"": ""pizza with ham"", ""estimated_portion_g"": 15.0}]",2.5,4.5,2.0,46.0,high,"small bite sized piece, plate scale unavailable | A very small, single bite of pizza topped with what appears to be ham or Canadian bacon.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8958.jpeg,2020-02-02 21:24:21,2020-02-02,"[""chicken nuggets""]","[{""name"": ""chicken nuggets"", ""estimated_portion_g"": 100.0}]",15.0,16.0,18.0,286.0,high,"6 standard chicken nuggets, visual estimate based on typical fast food portion. | A box containing 6 breaded chicken nuggets.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8959.jpeg,2020-02-02 22:40:05,2020-02-02,"[""cereal"", ""milk""]","[{""name"": ""cereal"", ""estimated_portion_g"": 30.0}, {""name"": ""milk"", ""estimated_portion_g"": 100.0}]",6.3,30.0,4.3,183.9,medium,"standard serving size estimate for a small bowl | partly hidden by cereal, estimated volume | A bowl of square-shaped whole grain cereal with a small amount of visible milk.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8960.jpeg,2020-02-03 06:40:37,2020-02-03,"[""Mango and banana yogurt with muesli"", ""Bread with filling"", ""Milk""]","[{""name"": ""Mango and banana yogurt with muesli"", ""estimated_portion_g"": 195.0}, {""name"": ""Bread with filling"", ""estimated_portion_g"": 60.0}, {""name"": ""Milk"", ""estimated_portion_g"": 200.0}]",20.0,66.9,10.1,438.5,high,"Nutritional values based on packaging label for 100g serving, calculated for full 195g container. | Estimated portion based on visual size of the half-bread sandwich, interior contents unknown. | Estimated volume for a standard glass portion. | A breakfast or snack set consisting of a TINE Morgen mango-banana yogurt cup, a piece of flatbread or bread with filling, and a glass of milk.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8961.jpeg,2020-02-03 08:05:44,2020-02-03,"[""Coca-Cola classic""]","[{""name"": ""Coca-Cola classic"", ""estimated_portion_g"": 355.0}]",0.0,39.0,0.0,156.0,high,standard 12 oz can volume | A single unopened 355ml can of Coca-Cola.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8962.jpeg,2020-02-03 09:20:18,2020-02-03,"[""banana"", ""pear""]","[{""name"": ""banana"", ""estimated_portion_g"": 120.0}, {""name"": ""pear"", ""estimated_portion_g"": 170.0}]",1.9,53.0,0.6000000000000001,225.0,high,standard medium banana size | standard medium pear size | A banana and a pear on a white surface.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8963.jpeg,2020-02-03 12:24:50,2020-02-03,"[""Chicken and noodle salad bowl"", ""Litago chocolate milk"", ""Energy chocolate bar""]","[{""name"": ""Chicken and noodle salad bowl"", ""estimated_portion_g"": 250.0}, {""name"": ""Litago chocolate milk"", ""estimated_portion_g"": 250.0}, {""name"": ""Energy chocolate bar"", ""estimated_portion_g"": 50.0}]",33.0,92.0,22.0,698.0,medium,"Mixed salad dish with noodles, vegetables, and chicken; estimation based on typical bowl size | Estimated based on standard small beverage carton size | Standard snack bar size | A salad bowl with chicken, noodles, lettuce, cucumber, and corn, accompanied by a carton of chocolate milk and an energy bar.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8964.jpeg,2020-02-03 12:24:52,2020-02-03,"[""Chicken and pasta salad"", ""Chocolate milk"", ""Energy bar""]","[{""name"": ""Chicken and pasta salad"", ""estimated_portion_g"": 250.0}, {""name"": ""Chocolate milk"", ""estimated_portion_g"": 250.0}, {""name"": ""Energy bar"", ""estimated_portion_g"": 40.0}]",33.0,88.0,15.0,619.0,medium,"mixed dish | Litago carton | estimated standard bar size | A lunch consisting of a chicken pasta salad in a container, a carton of chocolate milk, and an energy bar.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8965.jpeg,2020-02-03 18:09:19,2020-02-03,"[""Fusilli pasta with meat sauce"", ""Cooked carrots"", ""Orange juice""]","[{""name"": ""Fusilli pasta with meat sauce"", ""estimated_portion_g"": 250.0}, {""name"": ""Cooked carrots"", ""estimated_portion_g"": 60.0}, {""name"": ""Orange juice"", ""estimated_portion_g"": 200.0}]",20.0,71.0,12.0,472.0,medium,"estimated based on visual size of pasta portion and meat sauce coverage | two small cooked carrot segments | standard glass size, estimated volume | The meal consists of fusilli pasta served with a meat-based sauce, two cooked carrot segments, and a glass of orange juice. Estimates are based on visual volume and standard portion densities.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8966.jpeg,2020-02-03 23:13:22,2020-02-03,"[""Big One pizza slice""]","[{""name"": ""Big One pizza slice"", ""estimated_portion_g"": 70.0}]",6.5,22.0,7.0,177.0,high,"single slice of frozen pizza, portion estimated based on slice size relative to standard pizza dimensions | A single slice of Big One pizza on a wooden serving board.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8967.jpeg,2020-02-03 23:13:34,2020-02-03,"[""thin crust pizza slice""]","[{""name"": ""thin crust pizza slice"", ""estimated_portion_g"": 75.0}]",8.0,22.0,9.0,201.0,high,"Single slice of thin crust pizza, portion estimated based on size relative to typical pizza dimensions. | A single slice of pizza with cheese and what appears to be red onion or similar topping on a wooden board.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8968.jpeg,2020-02-03 23:28:28,2020-02-03,"[""orange juice""]","[{""name"": ""orange juice"", ""estimated_portion_g"": 150.0}]",1.0,15.0,0.0,64.0,high,estimated volume of small glass | A glass of orange juice next to a Sunniva brand juice carton.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8969.jpeg,2020-02-04 06:25:54,2020-02-04,"[""Whole grain sandwich"", ""Tine Morgen Mango and Banana Yogurt with Muesli""]","[{""name"": ""Whole grain sandwich"", ""estimated_portion_g"": 60.0}, {""name"": ""Tine Morgen Mango and Banana Yogurt with Muesli"", ""estimated_portion_g"": 185.0}]",12.0,51.0,6.0,306.0,high,Single slice folded; filling is not visible. | Based on standard package weight (185g) for this specific brand product. | A small sandwich and a commercial single-serving yogurt cup.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8970.jpeg,2020-02-04 07:17:51,2020-02-04,"[""Coca-Cola Original Taste""]","[{""name"": ""Coca-Cola Original Taste"", ""estimated_portion_g"": 500.0}]",0.0,53.0,0.0,212.0,high,Based on standard 500ml bottle size | A single 500ml bottle of Coca-Cola on a wooden table.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8972.jpeg,2020-02-04 09:01:35,2020-02-04,"[""sliced cheese with bell pepper and radish"", ""fruit yogurt (skovbær)"", ""bread roll"", ""granola with fruit"", ""froosh blood orange smoothie""]","[{""name"": ""sliced cheese with bell pepper and radish"", ""estimated_portion_g"": 50.0}, {""name"": ""fruit yogurt (skovbær)"", ""estimated_portion_g"": 100.0}, {""name"": ""bread roll"", ""estimated_portion_g"": 60.0}, {""name"": ""granola with fruit"", ""estimated_portion_g"": 20.0}, {""name"": ""froosh blood orange smoothie"", ""estimated_portion_g"": 250.0}]",23.0,83.0,21.0,613.0,high,"estimated based on two slices of cheese and garnish | labeled portion size of 100g | standard airline bread roll size | labeled 20g portion | standard single-serve smoothie container | Breakfast tray consisting of cheese, yogurt, bread, granola, and a smoothie.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8973.jpeg,2020-02-04 11:24:46,2020-02-04,"[""Whole wheat sandwich with cheese and lettuce"", ""Latte with cocoa powder""]","[{""name"": ""Whole wheat sandwich with cheese and lettuce"", ""estimated_portion_g"": 180.0}, {""name"": ""Latte with cocoa powder"", ""estimated_portion_g"": 300.0}]",20.0,50.0,16.0,424.0,medium,"mixed dish, interior contents partially hidden | plate scale unavailable, milk content estimated | A simple meal consisting of a sandwich on a brown bread roll and a latte drink with a small amount of cocoa dusting.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8975.jpeg,2020-02-04 17:33:16,2020-02-04,"[""dinner roll""]","[{""name"": ""dinner roll"", ""estimated_portion_g"": 40.0}]",3.2,20.0,1.2,103.6,high,standard dinner roll size estimation based on paper plate scale | A single dinner roll on a small paper plate.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8977.jpeg,2020-02-04 21:18:31,2020-02-04,"[""Burger King Whopper with Cheese""]","[{""name"": ""Burger King Whopper with Cheese"", ""estimated_portion_g"": 300.0}]",31.0,52.0,40.0,692.0,high,"A standard Whopper with cheese based on the branded wrapper. | The item is a Burger King Whopper with cheese, identifiable by the branded packaging and visible bun/lettuce/cheese.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8980.jpeg,2020-02-05 06:07:02,2020-02-05,"[""whole wheat bread sandwich with filling"", ""milk""]","[{""name"": ""whole wheat bread sandwich with filling"", ""estimated_portion_g"": 60.0}, {""name"": ""milk"", ""estimated_portion_g"": 200.0}]",12.0,35.0,11.0,287.0,medium,"mixed dish, filling contents unknown | glass volume estimation | A half sandwich (likely with a spread) and a glass of milk.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8981.jpeg,2020-02-05 08:59:51,2020-02-05,"[""crispbread with chocolate spread"", ""Coca-Cola""]","[{""name"": ""crispbread with chocolate spread"", ""estimated_portion_g"": 60.0}, {""name"": ""Coca-Cola"", ""estimated_portion_g"": 330.0}]",3.0,67.0,8.0,352.0,high,two pieces of crispbread with moderate amount of chocolate spread | standard 330ml can | snack consisting of two crispbreads topped with chocolate spread and a can of Coca-Cola,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8982.jpeg,2020-02-05 11:53:09,2020-02-05,"[""chicken wrap""]","[{""name"": ""chicken wrap"", ""estimated_portion_g"": 200.0}]",25.0,35.0,10.0,330.0,medium,"mixed dish, ingredients inside are largely hidden but appear to be chicken and lettuce in a flour tortilla | A simple chicken wrap served in patterned paper. The filling is not fully visible, so nutritional estimates are based on a standard size commercial chicken wrap.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8983.jpeg,2020-02-05 17:03:38,2020-02-05,"[""Lasagna"", ""Baguette slice"", ""Tomato and cucumber salad"", ""Milk""]","[{""name"": ""Lasagna"", ""estimated_portion_g"": 250.0}, {""name"": ""Baguette slice"", ""estimated_portion_g"": 40.0}, {""name"": ""Tomato and cucumber salad"", ""estimated_portion_g"": 80.0}, {""name"": ""Milk"", ""estimated_portion_g"": 200.0}]",29.5,58.0,22.5,552.5,medium,"mixed dish, estimate based on size | bread slice | raw vegetables | estimated volume of glass | Meal consists of a serving of lasagna, a slice of baguette, a small side of fresh tomato and cucumber slices, and a glass of milk.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8984.jpeg,2020-02-05 20:45:36,2020-02-05,"[""banana""]","[{""name"": ""banana"", ""estimated_portion_g"": 120.0}]",1.3,27.0,0.4,116.8,high,"typical medium banana size, no scale reference | A single raw banana on a dark surface.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8985.jpeg,2020-02-06 06:31:20,2020-02-06,"[""whole grain toast with spread"", ""milk""]","[{""name"": ""whole grain toast with spread"", ""estimated_portion_g"": 50.0}, {""name"": ""milk"", ""estimated_portion_g"": 200.0}]",11.5,30.0,10.5,260.5,medium,"bread slice with estimated thin spread, ingredient of spread unknown | estimated volume of glass, assuming whole milk | A single slice of toast with a spread and a glass of milk.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8986.jpeg,2020-02-06 09:04:18,2020-02-06,"[""banana"", ""chocolate croissant"", ""Coca-Cola Original Taste""]","[{""name"": ""banana"", ""estimated_portion_g"": 120.0}, {""name"": ""chocolate croissant"", ""estimated_portion_g"": 60.0}, {""name"": ""Coca-Cola Original Taste"", ""estimated_portion_g"": 330.0}]",5.8,90.0,13.4,503.8,high,"standard medium banana size | standard bakery pain au chocolat | typical 330ml can volume | A quick snack consisting of a banana, a pastry, and a soda can.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8996.jpeg,2020-02-06 11:34:51,2020-02-06,"[""roasted chicken leg"", ""roasted baby potatoes"", ""corn and cucumber salad""]","[{""name"": ""roasted chicken leg"", ""estimated_portion_g"": 120.0}, {""name"": ""roasted baby potatoes"", ""estimated_portion_g"": 100.0}, {""name"": ""corn and cucumber salad"", ""estimated_portion_g"": 80.0}]",28.0,32.0,18.0,402.0,medium,"estimated based on standard chicken leg size, skin included | estimated 4 small potatoes, includes oil | includes small amount of visible green beans and lettuce | The meal consists of roasted chicken, potatoes, and a small mix of corn, cucumber, green beans, and lettuce.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8998.jpeg,2020-02-06 17:27:16,2020-02-06,"[""Basmati rice"", ""Chicken and cashew curry"", ""Naan bread""]","[{""name"": ""Basmati rice"", ""estimated_portion_g"": 120.0}, {""name"": ""Chicken and cashew curry"", ""estimated_portion_g"": 180.0}, {""name"": ""Naan bread"", ""estimated_portion_g"": 50.0}]",35.7,66.0,18.8,576.0,medium,"Visual estimation of portion size on a standard dinner plate. | Mixed dish, exact sauce composition unknown. | Single piece, partial serving. | A plate containing chicken cashew curry, steamed rice, and a piece of naan bread. Estimates are based on visual volume relative to the plate.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_8999.jpeg,2020-02-06 22:09:58,2020-02-06,"[""milk""]","[{""name"": ""milk"", ""estimated_portion_g"": 240.0}]",8.0,12.0,8.0,152.0,medium,estimated based on typical 8 oz glass size | A glass of what appears to be milk.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9001.jpeg,2020-02-06 23:39:07,2020-02-06,"[""whole wheat bread slices"", ""deli ham slices"", ""mayonnaise"", ""milk""]","[{""name"": ""whole wheat bread slices"", ""estimated_portion_g"": 60.0}, {""name"": ""deli ham slices"", ""estimated_portion_g"": 50.0}, {""name"": ""mayonnaise"", ""estimated_portion_g"": 15.0}, {""name"": ""milk"", ""estimated_portion_g"": 200.0}]",21.0,41.0,24.0,464.0,medium,two slices estimated based on standard size | estimated for 3 visible slices of deli ham | visible spread on bread | estimated volume of glass content | A simple meal consisting of two open-faced ham sandwiches with mayo and a glass of milk.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9002.jpeg,2020-02-07 06:46:57,2020-02-07,"[""sliced ham"", ""whole wheat bread"", ""milk""]","[{""name"": ""sliced ham"", ""estimated_portion_g"": 50.0}, {""name"": ""whole wheat bread"", ""estimated_portion_g"": 30.0}, {""name"": ""milk"", ""estimated_portion_g"": 200.0}]",18.5,23.5,10.0,258.0,high,"two standard slices of ham | partly hidden under ham | estimated volume of glass | a simple meal consisting of two slices of ham on a single slice of bread, accompanied by a glass of milk",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9003.jpeg,2020-02-07 07:48:49,2020-02-07,"[""TINE Morgen Go Mango and Banana Yogurt"", ""Litago Lett Chocolate Milk""]","[{""name"": ""TINE Morgen Go Mango and Banana Yogurt"", ""estimated_portion_g"": 185.0}, {""name"": ""Litago Lett Chocolate Milk"", ""estimated_portion_g"": 250.0}]",15.0,48.0,5.0,297.0,high,Based on standard package size for this product | Standard portion size for this carton type | Breakfast items including fruit yogurt and low-fat chocolate milk.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9005.jpeg,2020-02-07 10:20:36,2020-02-07,"[""Coca-Cola Original Taste""]","[{""name"": ""Coca-Cola Original Taste"", ""estimated_portion_g"": 355.0}]",0.0,39.0,0.0,156.0,high,standard 12oz can size | A single unopened can of Coca-Cola.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9006.jpeg,2020-02-07 18:42:03,2020-02-07,"[""Lasagna"", ""Mixed side salad"", ""Red wine""]","[{""name"": ""Lasagna"", ""estimated_portion_g"": 180.0}, {""name"": ""Mixed side salad"", ""estimated_portion_g"": 80.0}, {""name"": ""Red wine"", ""estimated_portion_g"": 150.0}]",19.2,32.0,15.5,447.85625000000005,medium,"Single serving of meat and cheese pasta, plate scale estimated. | Includes lettuce, corn, tomato, and avocado; dressing amount unknown. | Standard glass volume estimate. | A plate featuring a portion of lasagna with a fresh vegetable salad, accompanied by a glass of red wine. | [alcohol-energy] red wine: 150 mL, 12.5% ABV assumed, +103.6 kcal",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9007.jpeg,2020-02-07 20:18:03,2020-02-07,"[""Vanilla ice cream"", ""Fresh raspberries""]","[{""name"": ""Vanilla ice cream"", ""estimated_portion_g"": 150.0}, {""name"": ""Fresh raspberries"", ""estimated_portion_g"": 120.0}]",6.5,49.0,18.5,388.5,high,"estimated from volume of scoop remaining in container | estimated count of berries in the bowl | The image shows a large container of vanilla ice cream with a scoop and a glass bowl filled with fresh raspberries. There appear to be chocolate pieces in the background top left, but they are blurry and partially out of focus.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9008.jpeg,2020-02-08 08:54:51,2020-02-08,"[""cereal squares""]","[{""name"": ""cereal squares"", ""estimated_portion_g"": 60.0}]",5.0,45.0,3.0,227.0,high,"plate scale unavailable | A bowl of dry, puffed cereal squares resembling Chex or a similar grain-based cereal.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9009.jpeg,2020-02-08 10:56:50,2020-02-08,"[""Coca-Cola""]","[{""name"": ""Coca-Cola"", ""estimated_portion_g"": 200.0}]",0.0,21.0,0.0,84.0,high,estimated volume of 200ml in glass | A glass of Coca-Cola with the original bottle visible.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9010.jpeg,2020-02-08 12:04:32,2020-02-08,"[""Bread rolls with cheese and red bell pepper""]","[{""name"": ""Bread rolls with cheese and red bell pepper"", ""estimated_portion_g"": 130.0}]",14.0,35.0,12.0,304.0,high,"Consolidated dish consisting of two bread roll halves, slices of cheese, and sliced red pepper. Plate scale unavailable. | Two pieces of bread each topped with cheese slices and a few rings of red bell pepper.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9011.jpeg,2020-02-08 16:30:17,2020-02-08,"[""steak"", ""french fries"", ""mixed sauteed vegetables"", ""sauces""]","[{""name"": ""steak"", ""estimated_portion_g"": 200.0}, {""name"": ""french fries"", ""estimated_portion_g"": 120.0}, {""name"": ""mixed sauteed vegetables"", ""estimated_portion_g"": 100.0}, {""name"": ""sauces"", ""estimated_portion_g"": 60.0}]",56.0,58.0,65.0,1041.0,medium,"estimated size based on standard steak cuts, weight approximate | estimated based on bowl size | vegetables appear to include broccoli, carrots, and mushrooms, likely sauteed | two small ramekins with creamy sauce and gravy, fat/carb content estimated based on typical condiment types | Meal includes a grilled steak, a bowl of french fries, sauteed vegetables, and two ramekins of sauce. A dark beverage is present but not explicitly identified as calorie-dense or excluded from this analysis; it is not counted in the solid food list.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9012.jpeg,2020-02-08 21:25:36,2020-02-08,"[""cola beverage""]","[{""name"": ""cola beverage"", ""estimated_portion_g"": 250.0}]",0.0,27.0,0.0,108.0,high,"standard serving size for a glass of cola | The image shows a glass filled with a dark carbonated beverage, appearing to be a typical cola soft drink.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9013.jpeg,2020-02-08 22:47:26,2020-02-08,"[""New Energy chocolate bar""]","[{""name"": ""New Energy chocolate bar"", ""estimated_portion_g"": 50.0}]",3.0,35.0,8.0,224.0,high,Standard energy bar size assumed | Single packaged energy bar. Estimated nutritional values based on typical chocolate/energy bar composition.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9014.jpeg,2020-02-09 08:36:41,2020-02-09,"[""banana""]","[{""name"": ""banana"", ""estimated_portion_g"": 120.0}]",1.3,27.0,0.4,116.8,high,standard medium banana size | A single raw banana on a dark surface.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9015.jpeg,2020-02-09 14:22:01,2020-02-09,"[""banana"", ""multigrain bread roll"", ""Coca-Cola""]","[{""name"": ""banana"", ""estimated_portion_g"": 120.0}, {""name"": ""multigrain bread roll"", ""estimated_portion_g"": 70.0}, {""name"": ""Coca-Cola"", ""estimated_portion_g"": 500.0}]",7.3,115.0,2.4,510.8,high,"standard medium banana | estimated size of a typical bakery roll | standard 500ml bottle | A snack consisting of a banana, a multi-grain bread roll, and a 500ml bottle of Coca-Cola.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9020.jpeg,2020-02-09 18:29:23,2020-02-09,"[""bread roll"", ""strawberry jam""]","[{""name"": ""bread roll"", ""estimated_portion_g"": 60.0}, {""name"": ""strawberry jam"", ""estimated_portion_g"": 15.0}]",5.0,40.0,1.0,189.0,high,standard bread roll size | one tablespoon estimated serving | A simple meal consisting of a bread roll and strawberry jam. The jam bottle is visible but only the portion that would be consumed is estimated.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9021.jpeg,2020-02-09 18:57:46,2020-02-09,"[""Tortilla with ground meat, cheese, avocado, tomato, cucumber, and red onion"", ""Dark soda""]","[{""name"": ""Tortilla with ground meat, cheese, avocado, tomato, cucumber, and red onion"", ""estimated_portion_g"": 250.0}, {""name"": ""Dark soda"", ""estimated_portion_g"": 150.0}]",25.0,50.0,20.0,480.0,medium,"A mixed dish on a flour tortilla. Estimates based on visual volume of meat, cheese, and vegetables. | A glass of dark-colored carbonated beverage, likely cola. | The plate contains a large flour tortilla with various toppings. A small glass of soda is served alongside.",google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9022.jpeg,2020-02-10 06:46:56,2020-02-10,"[""milk"", ""banana""]","[{""name"": ""milk"", ""estimated_portion_g"": 240.0}, {""name"": ""banana"", ""estimated_portion_g"": 120.0}]",9.3,39.0,8.4,268.8,high,standard glass size assumed | medium sized fruit | A glass of milk and a single banana.,google_gemini,gemini-3.1-flash-lite,success,,,True
p01,IMG_9023.jpeg,2020-02-10 07:37:02,2020-02-10,"[""Morgen Mango Banana Yoghurt with Muesli""]","[{""name"": ""Morgen Mango Banana Yoghurt with Muesli"", ""estimated_portion_g"": 195.0}]",7.8,37.05,4.3,218.1,high,"Nutritional values calculated based on the 100g breakdown provided on the package label for the total net weight of 195g. | The item is a sealed 195g portion of fruit yoghurt with muesli, based on the product label.",google_gemini,gemini-3.1-flash-lite,success,,,True
